product,title,rev_date,post_date,pdf_url
Publication 5337,Individual Noncash Charitable Contributions,Feb 2025,02/20/2025,https://www.irs.gov/pub/irs-pdf/p5337.pdf
Publication 5338,Partnerships Returns One Sheet,Apr 2025,04/08/2025,https://www.irs.gov/pub/irs-pdf/p5338.pdf
Publication 5341,The Taxpayer Roadmap,Mar 2025,03/24/2025,https://www.irs.gov/pub/irs-pdf/p5341.pdf
Publication 5343,Helpful Hints for Indian Tribes and Tribal Entities to Avoid Penalties on Federal Tax Deposits and Information Returns,Aug 2019,09/17/2019,https://www.irs.gov/pub/irs-pdf/p5343.pdf
Publication 5346,"Instructions for Form 8980, Partnership Request for Modification of Imputed Underpayments Under IRC Section 6225(c)",Dec 2024,12/04/2024,https://www.irs.gov/pub/irs-pdf/p5346.pdf
Publication 5347,Fact Sheet: Quality Statistical Sample Review Results for SPEC Partners and Employees,Jul 2025,08/20/2025,https://www.irs.gov/pub/irs-pdf/p5347.pdf
Publication 5348,Get Ready to File,Dec 2024,01/08/2025,https://www.irs.gov/pub/irs-pdf/p5348.pdf
Publication 5348-A,Get Ready To File Taxes,Dec 2025,02/06/2026,https://www.irs.gov/pub/irs-pdf/p5348a.pdf
Publication 5349,Year-Round Tax Planning Is For Everyone,Dec 2025,12/16/2025,https://www.irs.gov/pub/irs-pdf/p5349.pdf
Publication 5349-A,Year-Round Planning for Taxes,Dec 2025,02/06/2026,https://www.irs.gov/pub/irs-pdf/p5349a.pdf
Publication 5351,Unsolicited Proposal Guide,Apr 2022,05/10/2022,https://www.irs.gov/pub/irs-pdf/p5351.pdf
Publication 5352,"Individual Income Tax Returns with Small Business Income and Losses, Tax Years 2015-2017",Aug 2019,10/31/2019,https://www.irs.gov/pub/irs-pdf/p5352.pdf
